,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38,result_39,result_40,result_41,result_42
10,1.39,1773,0.53,0.178,0.129,0.083,0.08,10.218571569992696,3.7520675312005323,8.610006009042847,6.851130148535129,6.574205926568466,6.6881961456623555,6.9966617218456495,6.697708422056985,7.025724995004612,6.640831516979703,6.678791987804513,6.7137565721633115,7.018690967094541,6.868947407701374,6.594937627033466,6.59613278267067,6.503814596085331,6.53075909436045,6.358004843705433,6.54565433091159,6.545674278722671,6.4175776293979006,6.41970845698073,6.548320635502314,6.504035653995594,6.516767455732406,6.199768789459168,6.199788737270248,6.138472864799446,6.138504414609202,5.843252635767218,5.843272559367948,5.843303847756131,5.867019757659916,5.769089844179739,5.769109767780468,5.985372782556875,5.918906157013215,5.918926080613945,5.9189810230105,5.921046519848732,5.92721818843601,5.997487250785731
11,28.8,1623,0.38,0.089,0.455,0.0,0.075,10.218571569992696,13.234036641056141,11.928434651014989,12.823287089871148,12.696362867904483,13.435547822435202,13.519313661091058,13.477497981259624,13.818367797182427,14.138761378390324,13.601079791445578,13.808501569800608,15.147418116080228,15.143883173094858,13.665083444152327,13.677039117952319,13.891569890678639,14.155628353280896,14.506204796039931,14.279958322895908,14.241939766201867,14.563972410858014,14.394365204038884,14.643113531182433,15.233288652058722,15.239972366435737,15.277990923129781,15.23997236643574,15.127055207088688,15.045201878685765,15.045201878685765,15.013737220591507,14.939935073095342,14.939935073095342,15.054620406942625,15.023155748848367,15.061025824037516,15.032958471948415,15.001493813854157,15.001858359332648,15.091840025952676,15.091840025952676,14.94176744540512
12,1.12,1803,0.575,0.107,0.09,0.078,0.151,10.218571569992696,2.61772153339572,8.280679384951437,6.136669655553213,5.81474543358655,5.427098746807865,5.932164943796073,5.870640449831429,5.996882289824146,5.710742437231915,5.8421547501559665,5.85597142161787,6.261308575040409,6.164117729248718,5.808327352431475,5.808187665893238,5.778335419573464,5.763765511043386,5.6390699091421315,5.977049250568986,5.976249885931781,5.887776365030739,5.888412141982247,5.97835835601403,5.943286801836614,5.948674929821497,5.7378904210900545,5.73709105645285,5.842531462059798,5.842769914772148,5.62592355982215,5.625135492441647,5.625372981373077,5.641961148475154,5.609813407470917,5.609025340090415,5.677266880020552,5.69664571102743,5.695857643646928,5.695896791719569,5.642950212706179,5.646845652345578,5.7499052225727345
13,2.81,1773,0.298,0.055,0.371,0.0,0.276,10.218571569992696,10.790829876553468,10.96737565443132,11.284449104987019,11.239524883020355,11.121515102114245,11.42998067829754,11.132635943390856,11.217992399604066,10.969059728013555,10.788809900547879,10.889366960990621,10.649745673263343,10.593324651323961,10.730639759621527,10.734076990175037,10.71746491448032,10.56160967859871,10.540978719414657,10.081019297251814,10.125755541224835,10.40084599586913,10.286039752770694,10.148911770178277,10.018442761148375,10.103887507000906,10.059151263027886,10.103887507000906,10.052905773459143,10.053651743489826,10.053651743489826,10.08986912005123,10.090565472900108,10.090565472900108,10.085501889549324,10.121719266110727,10.295629746060156,10.085500367501254,10.121717744062657,10.122004332929173,10.134336377376064,10.134336377376064,10.188532421284274
14,27.1,1773,0.358,0.197,0.445,0.0,0.0,10.218571569992696,12.94317869290106,11.809744743125204,12.640092091670656,12.535167869703994,12.477158088797882,12.785623664981177,12.488770805286336,12.500048222392241,12.292567528081758,12.045592237502461,12.166206501375832,11.760068186719918,11.560358888856735,12.11704526653979,12.12116809024953,11.769390690135694,11.923801162812264,11.761833280890711,12.656752224580025,12.630929891488254,12.96657276199901,12.787962872018753,12.668205755252462,12.540879102663986,12.55943993751023,12.585262270602001,12.55943993751023,12.449750688842812,12.451034106296898,12.451034106296898,12.428713321424036,12.429875723755583,12.429875723755583,12.15897614825725,12.136655363384389,12.136655363384389,12.161238912842034,12.138918127969172,12.139273118844098,12.021822318288933,12.021822318288933,12.09737217676889
15,5.92,1723,0.305,0.056,0.427,0.0,0.212,10.218571569992696,12.419634386221917,11.599071088795865,12.31034109490977,12.258416872943108,12.40057480025204,12.940919117596675,12.405766020683977,12.768093601628657,12.481653929996178,12.885666840518477,13.07094115141963,12.96079719283317,12.883657161171563,12.896053667341036,12.906410001795784,12.923468990690527,12.837842688578448,12.854086172843747,13.090889109490895,13.089658760585273,13.479600669928285,13.279458443324671,13.192345161187227,13.00631429065848,13.048786440163788,13.050016789069414,13.048786440163788,13.121220764747251,13.082967348480864,13.082967348480864,13.081760132108828,13.046840513880197,13.046840513880197,13.111350503250973,13.110143286878937,13.294713922357085,13.108204908135775,13.10699769176374,13.107335669843158,13.203195677713161,13.203195677713161,13.170852950754615
16,0.4,1873,0.48,0.135,0.0,0.385,0.0,10.218571569992696,0.0,7.5679711251396915,4.487914671748791,4.260990449782128,3.9217886349250572,3.571458578549543,4.333635487131079,3.725737762099449,4.333635487131079,4.4879146706809845,4.4879146706809845,5.083128747690511,5.083128747690511,5.333635487131079,5.333635487131079,5.333635487131079,5.333635487131079,5.333635487131079,5.873937792999218,5.848030745654627,5.873937792999218,5.873937792999218,5.848030745654627,5.873937792999218,5.848030745654627,5.873937792999218,5.848030745654627,6.337362111908028,6.337362111908028,6.337362111908028,6.3149753102838275,6.3149753102838275,6.3149753102838275,6.337362111908028,6.3149753102838275,6.3149753102838275,6.337362111908028,6.3149753102838275,6.3149753102838275,6.3149753102838275,6.3149753102838275,6.450095347798954
17,24.3,1673,0.209,0.086,0.487,0.0,0.218,10.218571569992696,14.164782075152397,12.316317588061127,13.409511084112719,13.453586862146055,13.76432250673992,14.253334100280146,13.83426686911589,14.26275705283204,14.235668889694669,14.640188383949472,14.886364308473885,15.38823208809327,15.480981346333207,14.77073662330146,14.78575736977771,14.877274214901455,14.989859103960221,15.233378498336947,15.752944002375337,15.602461529400642,15.726639142372136,15.763861068694979,15.873548411640186,16.011170220463388,15.906128411883227,16.05661088485792,15.906128411883227,16.008602176151598,15.913033574126128,15.913033574126128,15.820403038090669,15.735524879211,15.735524879211,15.898805740628015,15.806175204592556,15.812552698294086,15.858202411093748,15.765571875058288,15.765967486799743,15.776856133664364,15.776856133664364,15.669254008750677
18,12.5,1723,0.157,0.115,0.438,0.0,0.29,10.218571569992696,12.739578129192505,11.727365194725607,12.51185559293031,12.607931370963648,12.602089298272581,13.142433615617215,12.613713177286044,12.959800726869336,12.691556044449378,13.102002376509606,13.292049561930462,13.163734787438718,13.44905778970315,13.133850768669149,13.144473893941235,13.066899152868132,13.075552655975546,13.367856234630036,13.52459802347444,13.514730220320772,13.87812216132831,13.683433818141033,13.621474384352389,13.431379790533022,13.465646698832522,13.47551450198619,13.465646698832522,13.535069927007543,13.4938029908807,13.4938029908807,13.484660580742878,13.447168984551,13.447168984551,13.408618896967962,13.399476486830139,13.588503707991467,13.402560767835125,13.393418357697302,13.393766704094276,13.429534500999472,13.429534500999472,13.405740591929764
19,3.82,1733,0.408,0.068,0.364,0.0,0.16,10.218571569992696,10.587229312844913,10.890872099681188,11.156212606246674,11.001288384280011,11.009164934088396,11.7067639609782,11.017558263199426,11.562314427872051,10.871198562793522,11.485505991550793,11.633664446293352,11.555045120051462,11.30528304345922,11.40077261022333,11.408700792719923,11.393552064398364,11.31307260918573,11.122756197350778,10.665031759422611,10.729636052757236,10.95435316299531,10.855472303277224,10.793988746900038,10.596297023798709,10.701142112029558,10.63653781869493,10.701142112029558,10.778422324588327,10.759172956922274,10.759172956922274,10.80843307026044,10.790417746897681,10.790417746897681,10.764734809553973,10.813994922892139,10.888042073525877,10.775026225009766,10.824286338347932,10.824566668938534,10.955658825939885,10.955658825939885,10.940445494077828
20,0.81,1873,0.599,0.15,0.153,0.023,0.076,10.218571569992696,4.4501266067727245,8.819145792042658,7.290798144216308,6.944873922249645,6.724672107392575,6.37434205101706,6.996662797350889,6.438863300782248,6.778465077444129,6.187519930794685,6.174435496882515,6.687665698592737,6.674560142791624,6.099447423366113,6.095843838457948,6.061928567149339,6.089723766658686,6.059415605705218,5.89205051132265,5.8935341274087705,5.74538322160479,5.749120778644483,5.927416667352661,6.0286387613689625,6.046638156898093,5.928436850719981,5.929920466806102,5.747309570652684,5.750303796545128,5.285149031830275,5.286601080466638,5.289560464618773,5.303798917550127,5.263233124664765,5.264685173301128,5.660456884367486,5.366981050078476,5.3684330987148385,5.368504190548946,5.176446114407321,5.17790969005505,5.329988153632929
21,5.26,1673,0.355,0.056,0.378,0.0,0.211,10.218571569992696,10.994430440262025,11.044416612782914,11.412685603727361,11.310761381760699,11.767497026354562,12.256508619894788,11.707842186084383,12.31759983393302,12.019402686656823,12.367913569275416,12.558990570240978,13.081751052972324,12.983257957686469,12.288619353991812,12.300278167478513,12.373566837330653,12.446648139394313,12.52587643180101,11.68686000224906,11.722525699567363,12.024103252403844,11.898852925803617,11.920888250467884,11.942114699241406,12.01893581767255,11.983270120354248,12.018935817672551,12.142423719496804,12.097523130075068,12.097523130075068,12.127277600812818,12.0854732886725,12.0854732886725,12.10866136008821,12.13841583082596,12.277245298217448,12.125145124358209,12.154899595095959,12.155192479203626,12.39904434939344,12.39904434939344,12.288252631406998
22,1.87,1843,0.605,0.106,0.094,0.046,0.149,10.218571569992696,2.7340647126577524,8.313868436341966,6.209947654833409,5.858023432866746,6.90330178760941,5.559938590516769,6.240104761545816,5.634889651553463,6.3953441145996655,5.670673498008146,5.671043899439896,6.135991715490271,6.080148150160777,5.636819809974797,5.635379816607636,5.614148426492702,5.607396888956306,5.525425278111306,5.783187754275603,5.782665693035449,5.689690815497223,5.690430300748099,5.792765514038829,5.798395730471865,5.8047445454925555,5.6672151323629265,5.666693071122774,5.7385948627226995,5.739152528039646,5.478819116423384,5.47830261756416,5.478857824548947,5.491960071810625,5.467246002934137,5.466729504074913,5.579629204809036,5.537265734226938,5.536749235367714,5.536791568738991,5.372841073830654,5.374936653016712,5.5147898081071105
23,2.98,1773,0.413,0.057,0.386,0.0,0.144,10.218571569992696,11.227116798786088,11.133126311361604,11.559241602287756,11.399317380321094,11.396307599414982,11.704773175598277,11.407528145126427,11.477826094749283,11.23733833613549,11.04356307695759,11.148185786744381,10.87481104761265,10.606174487514522,11.007032595597359,11.010608797736591,10.990057792094898,10.83280315097258,10.572680321496057,10.548848057605845,10.564711968609698,10.91720219789093,10.771218767906436,10.590439169944043,10.477331064746846,10.534835715260762,10.51897180425691,10.534835715260764,10.469779520820953,10.470619202951175,10.470619202951175,10.484901922537961,10.48568131499603,10.48568131499603,10.49961655328379,10.513899272870576,10.627227392822912,10.499586755006554,10.513869474593342,10.514169598405193,10.524515785150971,10.524515785150971,10.578286879655204
24,4.58,1773,0.363,0.057,0.436,0.0,0.144,10.218571569992696,12.68140653956149,11.703933903437875,12.475216593290213,12.36529237132355,12.312282590417439,12.620748166600734,12.323835484244995,12.344089583147394,12.131600363208598,11.892740331656633,12.010915205923578,11.625028962110335,11.419169171208006,11.94537263009109,11.949412070849393,11.929254112735201,11.754881796090253,11.583523992280508,12.330393230182928,12.320950858891731,12.684133636548882,12.490392578508636,12.356317790792911,12.222239891786458,12.256857447336097,12.266299818627296,12.256857447336099,12.152865006902484,12.154072597245111,12.154072597245111,12.145304882575399,12.14640295548533,12.14640295548533,12.186599926223327,12.177832211553614,12.282712693640903,12.186622051876103,12.17785433720639,12.178200791811411,12.188972977988737,12.188972977988737,12.244400726184708
25,0.65,1843,0.575,0.107,0.09,0.078,0.151,10.218571569992696,2.61772153339572,8.280679384951437,6.136669655553213,5.81474543358655,6.830023788329212,5.486660591236572,6.158978409443061,5.5648886945704,6.307611832579726,5.62034333514316,5.620697974811857,6.09118903600943,6.040612347520556,5.591214034345612,5.589835317291947,5.569243382433026,5.563250692850758,5.491393707515279,5.75857129411469,5.757791151139108,5.66928302398278,5.669921361252863,5.7676687328566825,5.7691025195821215,5.774509869228629,5.563706138835563,5.562925995859981,5.655165723383511,5.655655201843521,5.438808846893522,5.438039553127069,5.438527053207399,5.455115220309477,5.427414787002835,5.426645493236382,5.494830014103018,5.504831432625489,5.504062138859036,5.504101286931678,5.306300879152974,5.310020292905232,5.450585294697099
26,1.16,1833,0.591,0.107,0.091,0.062,0.15,10.218571569992696,2.6468073282112283,8.288964206056539,6.154989155373261,5.8170649334065985,6.527095419982527,5.609405714352752,6.112501509621525,5.681675723781919,6.191352559872682,5.685495866532249,5.689044989769371,6.137077104193681,6.070512990264491,5.654067546374103,5.652967164302364,5.628798706241671,5.619757476733166,5.526543856296283,5.816557595447961,5.81584350091706,5.726218517687384,5.726880498111212,5.82291835452162,5.81649861879987,5.822143058272635,5.647853505087044,5.647139410556143,5.732471785979221,5.73292149041673,5.498299326119566,5.497594596802153,5.498042443087107,5.51292122433442,5.485308471007046,5.484603741689632,5.571367245853519,5.560220836594191,5.559516107276778,5.559556295487565,5.410012127500745,5.4129233387072855,5.546196841714147
27,1.09,1773,0.604,0.15,0.085,0.082,0.079,10.218571569992696,2.4722925593181806,8.239379324220264,6.045072156452967,5.694147934486304,5.882138153580193,6.190603729763487,5.891357963632645,6.2628082203156135,5.8538809331553665,5.931516003669357,5.954554683285618,6.358499202336578,6.237733037922123,5.900426211957868,5.901213717610289,5.854071075701622,5.859540630844328,5.713488795199282,6.095695955532464,6.094457371172933,6.011727601941397,6.012250133471424,6.097603693962309,6.036813714135642,6.040905813877996,5.833065118569301,5.83182653420977,5.983933618813199,5.983942648836329,5.781154886350558,5.779939692312674,5.7799486897736845,5.7961378710114495,5.7450062030441185,5.743791009006234,5.87048962015011,5.826830937473273,5.82561574343539,5.825652439255757,5.849059332258183,5.853199111306145,5.920323040061991
28,6.2,1823,0.453,0.124,0.423,0.0,0.0,10.218571569992696,12.303291206959885,11.552767473409592,12.237063095629573,12.03713887366291,11.85011033416429,11.801527369474377,11.869199392157546,11.586668912820102,11.451144766388452,10.312213115843456,10.34433991743233,10.170895915069996,9.928332971372315,10.367949574050186,10.364273108158343,10.210215857138188,10.204684441786224,9.937671462066426,10.548479841984719,10.547500823044306,10.936321350751783,10.738999389880895,10.58847050694953,10.658548283539336,10.701101923494694,10.702080942435106,10.701101923494695,10.462195767903712,10.500749723932586,10.500749723932586,10.49978652950608,10.535040413824728,10.535040413824728,10.40612924085012,10.405166046423616,10.405166046423616,10.408224449758462,10.407261255331957,10.407595485290097,10.271759305804075,10.271759305804075,10.402057805350191
29,5.8,1733,0.441,0.115,0.343,0.0,0.102,10.218571569992696,9.976427621719246,10.664548500708229,10.771503110025643,10.58357888805898,10.624455437867365,11.32205446475717,10.631947333810869,11.196704363534941,10.494031462274535,11.08179879996215,11.221409651546484,11.18166532933833,10.895769248622315,10.973292489634176,10.980763276986735,10.89826516748742,10.88867077157629,10.650376479052829,10.073446647562218,10.190061415418825,10.272565509138126,10.212271046555287,10.248720121665546,10.01562280093509,10.170950482508571,10.054335714651966,10.170950482508573,10.26348936306904,10.247371139663914,10.247371139663914,10.3250294553329,10.309832110119801,10.309832110119801,10.175233281774059,10.252891597443044,10.275526445819013,10.187331824393834,10.264990140062817,10.265251918576954,10.368257435430074,10.368257435430074,10.358403645787249
30,14.3,1773,0.389,0.092,0.519,0.0,0.0,10.218571569992696,15.095527509248654,12.716813510570427,13.99573507835429,13.859810856387629,13.832801075481518,14.141266651664811,13.84490566718182,13.782870575513599,13.616075328149961,13.302374574457042,13.443046041761043,12.870390700176493,12.563819347911037,13.560373046555565,13.565181463421528,13.451736230604666,13.346481671050217,13.079349384162157,14.335601187657623,14.26025209249326,13.92019418031293,14.369144463410382,14.31521434199513,14.1430867936344,14.113487319530819,14.188836414695185,14.113487319530822,13.972272292273733,13.974301096239913,13.974301096239913,13.918547222058145,13.920320275089491,13.920320275089491,13.91852201326962,13.862768139087851,13.862768139087851,13.921076897236883,13.865323023055115,13.865750444513996,13.850029786368793,13.850029786368793,13.912197644859173
31,1.03,1793,0.56,0.108,0.087,0.094,0.151,10.218571569992696,2.530464148949196,8.255874572618689,6.081711156093065,5.774786934126402,6.995216824994523,5.99505044097304,6.141872339944322,6.062382462737497,6.332353208302855,5.8537307923797925,5.870529161756919,6.274525001805604,6.176055942794646,5.822430284166454,5.822612075062723,5.792807025687182,5.778545772027833,5.65661027344837,6.006905694736106,6.005861154439861,5.920808983585188,5.921375362097944,6.007714040936974,5.96226556965798,5.966894723997238,5.727991170304436,5.726946630008191,5.859862099142408,5.860010870350133,5.662683699268913,5.661656782212663,5.661804991459586,5.679520240406227,5.646015528218154,5.644988611161905,5.694429328100304,5.737787696032329,5.736760778976079,5.7367982871139995,5.707141760944283,5.711883397961931,5.802692432837375
32,64.9,1714,0.35,0.15,0.5,0.0,0.0,10.218571569992696,14.542897407754001,12.477474970062191,13.647664581773356,13.550740359806694,13.642493111823379,14.340758096114804,13.676844133427888,14.136729796801449,13.649141870200001,14.494268865408221,14.721712498508086,14.595915774562288,14.40541281936423,14.66690307920835,14.679995863523942,14.560951302174434,14.65325313550689,14.606654499086424,15.65550384632083,15.502160494753703,15.462299230190567,15.651342373129573,15.656218665749286,15.547048951817708,15.439323464241411,15.592666815808538,15.439323464241411,15.5269497026746,15.456014435443636,15.456014435443636,15.362226278632912,15.299629279291073,15.299629279291073,15.293357003208142,15.199568846397417,15.199568846397417,15.262482497311078,15.168694340500354,15.169102785668779,15.110443747045164,15.110443747045164,15.073978357462385
33,38.4,1765,0.35,0.15,0.5,0.0,0.0,10.218571569992696,14.542897407754001,12.477474970062191,13.647664581773356,13.550740359806694,13.061586844438146,13.882433209583628,13.013558011352892,13.547430929991759,12.276117010210232,13.226521036670848,13.37702335646974,12.860337293899924,12.65076944649438,13.426006899102244,13.43201809004907,13.176107340879089,13.229768220407102,13.0787182185082,14.406375570486539,14.256709571422949,14.191831484921899,14.402191798853309,14.313855193347564,14.216455139548046,14.112407004475287,14.26207300353888,14.112407004475287,14.011666530944096,14.002896111176788,14.002896111176788,13.910598844267334,13.90285936598195,13.90285936598195,13.798602831740011,13.706305564830556,13.706305564830556,13.798601282023347,13.706304015113892,13.706712460282317,13.641449537656573,13.641449537656573,13.6983008579359
34,36.4,1714,0.4,0.15,0.45,0.0,0.0,10.218571569992696,13.088607666978602,11.868941334994322,12.731689590770902,12.584765368804238,12.726518120820923,13.42478310511235,12.742523268798205,13.2637377931293,12.71759123189311,13.493633445935497,13.698332715725376,13.64463707187511,13.373803919369855,13.547034651654979,13.558818157539008,13.448380506220484,13.528033346544177,13.383011491904696,14.135353463211416,14.101997921111131,14.428510396950028,14.256116526932551,14.233933919227674,14.070959215504388,14.082151660231858,14.115507202332143,14.082151660231858,14.170497755387983,14.118662918257689,14.118662918257689,14.090611731344,14.04376947767173,14.04376947767173,13.97108968489291,13.94303849797922,13.94303849797922,13.960159705958764,13.932108519045075,13.932468278043496,13.93976342629799,13.93976342629799,13.901984962465004
35,20.9,1623,0.255,0.056,0.476,0.0,0.213,10.218571569992696,13.844838332181808,12.181580507133713,13.207996586092175,13.206072364125513,13.820257318656232,13.90402315731209,13.899522404065557,14.204938152274146,14.591305650294597,14.021687412403944,14.238682503606128,15.611923779236674,15.610241452322018,14.133701049332473,14.146208523461695,14.332692073109719,14.64986073671701,14.943359265705556,15.02308760265299,14.910386539953201,15.13370032306699,15.066723975501183,15.333050261152138,16.005923478571045,15.938457788817608,16.0511588515174,15.938457788817612,15.81498111509393,15.721354731237913,15.721354731237913,15.645588471441812,15.561993221871443,15.561993221871443,15.712336815370824,15.636570555574721,15.668552415489996,15.6772780447664,15.601511784970299,15.601896633470446,15.639201908393385,15.639201908393385,15.48991007066445
